base,source,hgb,mlp,xgbnative
RAW,clim,0.1978451319904859,-3.7249699,0.3879509984510851
RAW,noclim,0.0590099662439868,-3.1267543,0.3444519564420901
D7,clim,0.0754711665980894,-3.1648028,0.3663539469773391
D7,noclim,0.1054777162334155,-4.583181,0.3379017425917904
D5,clim,-0.0775990873066073,-4.3089294,0.235292308044403
D5,noclim,-0.1119534518404005,-7.348905,0.2464019337351721
