feature,mean_gain,median_rank,freq_top20,n_folds
RAD_SOL,30.657801848191482,2.0,1.0,13
PRES_ATM,20.46954294351431,3.0,1.0,13
Radiative_Dif_AVG,17.583588361740112,4.0,0.6923076923076923,13
TEMP_MIN,13.417051287797781,10.0,0.7692307692307693,13
Radiative_Direct_AVG,9.846065090252804,34.0,0.46153846153846156,13
TEMP_MAX,8.937445970681997,7.0,1.0,13
B6,8.864542154165415,6.0,1.0,13
HUM_REL,7.831285219926101,8.0,0.9230769230769231,13
B1,7.255537564937885,7.0,0.9230769230769231,13
GEMI,6.8059344199987555,9.0,0.7692307692307693,13
CP,5.208322341625507,12.0,1.0,13
Longitude,5.142281165489783,13.0,1.0,13
TP_SFC_AVG,5.0591709063603325,16.0,0.7692307692307693,13
WIND_SPD,4.6871975843723,13.0,0.7692307692307693,13
B8,4.6008378358987665,15.0,0.6923076923076923,13
NDVI,4.376285332899827,18.0,0.5384615384615384,13
Longwave_Rad_AVG,4.32567853652514,20.0,0.5384615384615384,13
Latitude,4.297487038832444,16.0,1.0,13
DVI,3.757332123242892,22.0,0.3076923076923077,13
B9,3.7351302183591404,22.0,0.46153846153846156,13
B12,3.705788594025832,19.0,0.6153846153846154,13
NDWI,3.6550459128159742,20.0,0.6153846153846154,13
RAIN,3.5280871391296387,30.0,0.23076923076923078,13
B7,3.2511837023955126,21.0,0.46153846153846156,13
EVAPOT,3.094927884065188,32.0,0.3076923076923077,13
GCI,3.0630994668373694,25.0,0.23076923076923078,13
Delta_days,2.936054614874033,24.0,0.23076923076923078,13
B8A,2.8968295684227576,26.0,0.15384615384615385,13
B5,2.7140757945867686,27.0,0.15384615384615385,13
B4,2.7077084688039927,27.0,0.15384615384615385,13
EVI,2.619462407552279,36.0,0.38461538461538464,13
LAI,2.551215031972298,29.0,0.23076923076923078,13
B11,2.463731912466196,29.0,0.15384615384615385,13
B3,2.3931666154127855,29.0,0.15384615384615385,13
B2,2.3682480591994066,30.0,0.0,13
Dew_Point,2.353651633629432,31.0,0.15384615384615385,13
SampleID,2.16193242256458,31.0,0.0,13
PPFD,1.224805208352896,37.0,0.07692307692307693,13
SAVI,1.0595740996874297,38.0,0.07692307692307693,13
