base,target,model,rmse_lit,r2_lit,rmse_full,r2_full,rmse_clim,r2_clim,Δrmse(LIT-FULL),Δrmse(LIT-CLIM),Δr2(LIT-FULL),Δr2(LIT-CLIM)
D5,CP,gb,2.5803909018863034,-1.7401276847996001,1.7621378688518718,-0.34481563264854015,1.9631465789724893,-0.6534729653175974,-0.8182530330344315,-0.617244322913814,-1.39531205215106,-1.0866547194820027
D5,CP,linear,2.87534977381852,-2.5691948275670335,2.7761756556469472,-3.3085227341685814,5.695145372900077,-47.393035207771405,-0.09917411817157262,2.8197955990815573,0.7393279066015479,44.82384038020437
D5,CP,mlp,2.901843492740751,-3.5478857864153754,2.238910970376841,-1.2151801633741002,2.0577007092714847,-0.9715636005884339,-0.66293252236391,-0.8441427834692661,-2.3327056230412753,-2.5763221858269416
D5,CP,naive,2.825616323348103,-2.665668183535149,2.825616323348103,-2.665668183535149,2.825616323348103,-2.665668183535149,0.0,0.0,0.0,0.0
D5,CP,ridge,2.845717559845768,-2.464168223491136,2.7569900741299627,-3.1245116445389365,4.457219321582891,-23.06498217255849,-0.08872748571580535,1.6115017617371232,0.6603434210478003,20.600813949067355
D5,CP,xgb,2.676545925393455,-1.9864595836462164,1.7644835643944794,-0.31276167187924175,1.7925159407674012,-0.3282707098732814,-0.9120623609989758,-0.884029984626054,-1.6736979117669746,-1.6581888737729351
D5,TDN_based_ADF,gb,5.765415729624822,-1.0310472245580167,4.00194759430431,0.039390457344816485,4.277685405508527,-0.10310200656719447,-1.7634681353205117,-1.4877303241162947,-1.0704376819028332,-0.9279452179908222
D5,TDN_based_ADF,linear,5.308896182310742,-0.7938554671527792,7.826183631318019,-4.796296093302372,12.318601632104924,-28.170418634515446,2.5172874490072763,7.009705449794182,4.002440626149593,27.37656316736267
D5,TDN_based_ADF,mlp,7.141195859602432,-2.6213223828910395,14.667468591756581,-20.253992409969552,14.020012041566178,-13.100135145540651,7.526272732154149,6.878816181963746,17.63267002707851,10.478812762649612
D5,TDN_based_ADF,naive,5.145680633442741,-0.4552029945370792,5.145680633442741,-0.4552029945370792,5.145680633442741,-0.4552029945370792,0.0,0.0,0.0,0.0
D5,TDN_based_ADF,ridge,5.323417568332045,-0.7816453683427774,6.470245591728282,-2.4165926837758795,8.805636681193846,-11.3347770213265,1.1468280233962371,3.4822191128618014,1.6349473154331022,10.553131652983723
D5,TDN_based_ADF,xgb,5.333994444163691,-0.8360682172607113,4.00694688198933,0.03308116722143933,4.1341943115691935,-0.05735575296558427,-1.3270475621743616,-1.1998001325944978,-0.8691493844821506,-0.7787124642951271
D7,CP,gb,2.555766604930409,-1.7045030566657857,1.8020989256673718,-0.2772595660667571,1.8519558862164542,-0.40846623046397607,-0.7536676792630372,-0.7038107187139548,-1.4272434905990286,-1.2960368262018096
D7,CP,linear,2.8297826961283037,-3.503530856709675,2.575972653168532,-2.704492246996602,3.8964113805527503,-15.845944984213892,-0.25381004295977183,1.0666286844244466,-0.7990386097130728,12.342414127504217
D7,CP,mlp,2.8386960004543225,-3.416443215535059,2.2971704582145547,-1.2656559745396927,2.1934985164636602,-1.1047893346995081,-0.5415255422397678,-0.6451974839906622,-2.150787240995366,-2.311653880835551
D7,CP,naive,2.738185005231579,-2.3461085550500997,2.738185005231579,-2.3461085550500997,2.738185005231579,-2.3461085550500997,0.0,0.0,0.0,0.0
D7,CP,ridge,2.7775669458591126,-2.9991157245370474,2.575772543397716,-2.626769034704595,3.44877645969463,-11.173892189717971,-0.20179440246139668,0.6712095138355174,-0.37234668983245234,8.174776465180924
D7,CP,xgb,2.627295028944514,-1.865444754295,1.7931748909304155,-0.2702961112041686,1.7442097263666767,-0.1960457324616632,-0.8341201380140986,-0.8830853025778373,-1.5951486430908313,-1.6693990218333368
D7,TDN_based_ADF,gb,5.494125581878761,-0.7945475339926549,3.9629960167607923,0.08301435319287015,4.046358724166633,0.011933698437260928,-1.5311295651179684,-1.4477668577121277,-0.8775618871855251,-0.8064812324299158
D7,TDN_based_ADF,linear,5.232043615129824,-0.6934358006325917,7.068555433043318,-3.638484290608339,9.491537177982718,-10.48840745042792,1.8365118179134932,4.259493562852893,2.945048489975747,9.794971649795327
D7,TDN_based_ADF,mlp,7.115492834079545,-2.5309426138102284,14.048432267139553,-20.779854698233542,13.703087990689209,-12.288455205965892,6.9329394330600085,6.587595156609664,18.248912084423313,9.757512592155663
D7,TDN_based_ADF,naive,5.206238798949116,-0.45017752271338624,5.206238798949116,-0.45017752271338624,5.206238798949116,-0.45017752271338624,0.0,0.0,0.0,0.0
D7,TDN_based_ADF,ridge,5.261703667301309,-0.6805933452005124,6.114762421259827,-2.1032785917093477,7.931952460868876,-6.585152495599312,0.8530587539585177,2.670248793567567,1.4226852465088353,5.904559150398799
D7,TDN_based_ADF,xgb,5.591891292651424,-0.9028630672414852,3.744525556685938,0.17369074096361264,3.9782435904212488,0.030444229559146795,-1.8473657359654863,-1.6136477022301756,-1.0765538082050978,-0.9333072968006321
RAW,CP,gb,2.774110964769062,-1.8712252965647218,2.1016284795100444,-0.6847289593298049,2.0536922364070946,-0.44823837464742344,-0.6724824852590174,-0.7204187283619672,-1.1864963372349169,-1.4229869219172984
RAW,CP,linear,2.7402441024946973,-2.160831360232528,2.8454945205671858,-2.673387886599011,3.7619749762565955,-11.193926122142441,0.10525041807248847,1.0217308737618982,0.5125565263664829,9.033094761909913
