feature,mean_gain,median_rank,freq_top20,n_folds
B9,7.865070009231568,2.0,0.9333333333333333,15
Longwave_Rad_AVG,7.808971429864566,2.0,0.9333333333333333,15
TEMP_MIN,6.247771692276001,3.0,1.0,15
RAD_SOL,4.531390778223673,4.0,1.0,15
Radiative_Dif_AVG,2.921144759654999,5.0,1.0,15
Longitude,1.0704584002494812,8.0,1.0,15
B6,1.0652488241593043,9.0,0.9333333333333333,15
PPFD,1.009454896301031,10.0,0.7333333333333333,15
Latitude,0.9901387095451355,8.0,1.0,15
Radiative_Direct_AVG,0.834317073971033,15.0,0.6,15
TDN_based_ADF,0.8270190596580506,10.0,1.0,15
RAIN,0.7084188923239708,29.0,0.3333333333333333,15
EVAPOT,0.5464124151815971,19.0,0.6,15
B1,0.5393265863259633,13.0,1.0,15
B5,0.46520449618498483,15.0,0.9333333333333333,15
B7,0.42274935444196066,19.0,0.6666666666666666,15
B8A,0.4006215741237005,17.0,0.7333333333333333,15
Delta_days,0.3970421443382899,22.0,0.4,15
TP_SFC_AVG,0.3919804242750009,27.0,0.3333333333333333,15
LAI,0.3829837361971537,20.0,0.5333333333333333,15
B4,0.3652546922365824,20.0,0.5333333333333333,15
SampleID,0.3404226958751678,23.0,0.3333333333333333,15
DVI,0.3339865426222483,19.0,0.5333333333333333,15
NDVI,0.30400195022424065,23.0,0.3333333333333333,15
B3,0.30182960331439973,22.0,0.3333333333333333,15
GEMI,0.28658516022066277,24.0,0.3333333333333333,15
HUM_REL,0.2771936406070987,28.0,0.3333333333333333,15
EVI,0.26634618441263835,25.0,0.26666666666666666,15
TEMP_MAX,0.25810141613086063,30.0,0.06666666666666667,15
B11,0.25211285005013145,29.0,0.2,15
WIND_SPD,0.24974612792332967,28.0,0.26666666666666666,15
Dew_Point,0.24782956012835106,26.0,0.26666666666666666,15
B8,0.23448821405569711,26.0,0.13333333333333333,15
PRES_ATM,0.20088423416018486,30.0,0.06666666666666667,15
B2,0.1778354401389758,31.0,0.06666666666666667,15
NDWI,0.16459237287441889,32.0,0.0,15
B12,0.1551974669098854,31.0,0.13333333333333333,15
GCI,0.1318522684276104,36.0,0.13333333333333333,15
SAVI,0.06725629741946856,38.0,0.0,15
