base,source,hgb,mlp,xgbnative
RAW,clim,-0.0641683747139331,0.30851442,0.2964941330577439
RAW,noclim,-0.0568233105089862,0.2592338,0.2351345673717454
D7,clim,0.0878483258668149,0.38509595,0.3125341011042917
D7,noclim,-0.1338489916956595,0.3239049,0.1008921147094499
D5,clim,0.0580814457959032,0.34643242,0.3041884805308952
D5,noclim,-0.5512553906781699,0.21455821,-0.0104857953595
