base,variant,target,model,r2,rmse,mae,file
RAW,clim,CP,gb,-0.44823837464742344,2.0536922364070946,1.7744699814547338,/workspace/reports/exp01_UFMS_RAW_clim_CP_gb.csv
RAW,noclim,CP,linear,-2.673387886599011,2.8454945205671858,2.463173097267708,/workspace/reports/exp01_UFMS_RAW_noclim_CP_linear.csv
RAW,clim,CP,mlp,-0.4084102477647622,1.9404435460978262,1.6831177129637191,/workspace/reports/exp01_UFMS_RAW_clim_CP_mlp.csv
RAW,clim,CP,naive,-2.3136413180022397,2.80683499255321,2.375702540505631,/workspace/reports/exp01_UFMS_RAW_clim_CP_naive.csv
RAW,noclim,CP,ridge,-1.89887083719929,2.5768299618966197,2.2255512137037416,/workspace/reports/exp01_UFMS_RAW_noclim_CP_ridge.csv
RAW,clim,CP,xgb,-0.26388853536803464,1.963266599111626,1.6826903757117238,/workspace/reports/exp01_UFMS_RAW_clim_CP_xgb.csv
RAW,clim,TDN_based_ADF,gb,0.17910883641839687,3.791716485774579,3.086016911734744,/workspace/reports/exp01_UFMS_RAW_clim_TDN_based_ADF_gb.csv
RAW,noclim,TDN_based_ADF,linear,-1.9757483616557143,5.894898127733564,4.975150833223479,/workspace/reports/exp01_UFMS_RAW_noclim_TDN_based_ADF_linear.csv
RAW,clim,TDN_based_ADF,mlp,-3.7579505019055404,8.883984855146357,7.953604699253346,/workspace/reports/exp01_UFMS_RAW_clim_TDN_based_ADF_mlp.csv
RAW,clim,TDN_based_ADF,naive,-0.5324151129015978,5.328042627757626,4.470812272399629,/workspace/reports/exp01_UFMS_RAW_clim_TDN_based_ADF_naive.csv
RAW,noclim,TDN_based_ADF,ridge,-1.4879391640576594,5.407761043652649,4.537220322725826,/workspace/reports/exp01_UFMS_RAW_noclim_TDN_based_ADF_ridge.csv
RAW,noclim,TDN_based_ADF,xgb,0.13060260977860574,3.913811934759151,3.1509424421893146,/workspace/reports/exp01_UFMS_RAW_noclim_TDN_based_ADF_xgb.csv
