base,target,model,source,r2,rmse,mae,file
D5,TDN_based_ADF,gb,full,0.04732280919902941,4.439217397747344,3.454263789936872,/workspace/reports/tuned/D5_TDN_based_ADF_gb_full/cv_n_estimators=400__max_depth=3__learning_rate=0.03__subsample=0.7__max_features=sqrt.csv
D5,TDN_based_ADF,gb,full,0.03652925285141299,4.452206627902895,3.4646481340439257,/workspace/reports/tuned/D5_TDN_based_ADF_gb_full/cv_n_estimators=400__max_depth=3__learning_rate=0.06__subsample=0.7__max_features=sqrt.csv
D5,TDN_based_ADF,gb,full,0.03328068214884228,4.468380605224273,3.4756517194722134,/workspace/reports/tuned/D5_TDN_based_ADF_gb_full/cv_n_estimators=200__max_depth=4__learning_rate=0.03__subsample=0.7__max_features=sqrt.csv
D5,TDN_based_ADF,gb,full,0.03556048207648367,4.47015899645204,3.4364101376852383,/workspace/reports/tuned/D5_TDN_based_ADF_gb_full/cv_n_estimators=400__max_depth=2__learning_rate=0.03__subsample=0.7__max_features=sqrt.csv
D5,TDN_based_ADF,gb,full,0.037272007001869265,4.471158265094378,3.481374923772633,/workspace/reports/tuned/D5_TDN_based_ADF_gb_full/cv_n_estimators=800__max_depth=4__learning_rate=0.03__subsample=0.7__max_features=sqrt.csv
D5,TDN_based_ADF,gb,full,0.029494927762506284,4.473321139730165,3.418014767801516,/workspace/reports/tuned/D5_TDN_based_ADF_gb_full/cv_n_estimators=200__max_depth=2__learning_rate=0.06__subsample=0.7__max_features=sqrt.csv
D5,TDN_based_ADF,gb,full,0.028055047265153732,4.4766478948312685,3.4573565623063756,/workspace/reports/tuned/D5_TDN_based_ADF_gb_full/cv_n_estimators=200__max_depth=3__learning_rate=0.03__subsample=0.7__max_features=sqrt.csv
D5,TDN_based_ADF,gb,full,0.02640053206516855,4.479707896022626,3.4394440830380306,/workspace/reports/tuned/D5_TDN_based_ADF_gb_full/cv_n_estimators=200__max_depth=2__learning_rate=0.03__subsample=0.7__max_features=sqrt.csv
D5,TDN_based_ADF,gb,full,0.023060413992906058,4.481002104802975,3.4794835733891554,/workspace/reports/tuned/D5_TDN_based_ADF_gb_full/cv_n_estimators=200__max_depth=3__learning_rate=0.06__subsample=0.7__max_features=sqrt.csv
D5,TDN_based_ADF,gb,full,0.029620208150971706,4.4888305814570515,3.478438468490964,/workspace/reports/tuned/D5_TDN_based_ADF_gb_full/cv_n_estimators=800__max_depth=2__learning_rate=0.03__subsample=0.7__max_features=sqrt.csv
D5,TDN_based_ADF,gb,full,0.020885232982246964,4.499710669589084,3.460144815166364,/workspace/reports/tuned/D5_TDN_based_ADF_gb_full/cv_n_estimators=400__max_depth=2__learning_rate=0.06__subsample=0.7__max_features=sqrt.csv
D5,TDN_based_ADF,gb,full,0.0009357001037421763,4.5242304898579535,3.5194528507568656,/workspace/reports/tuned/D5_TDN_based_ADF_gb_full/cv_n_estimators=800__max_depth=3__learning_rate=0.06__subsample=0.7__max_features=sqrt.csv
D5,TDN_based_ADF,gb,full,0.009576510587371679,4.52773995904045,3.4732980439842733,/workspace/reports/tuned/D5_TDN_based_ADF_gb_full/cv_n_estimators=400__max_depth=3__learning_rate=0.1__subsample=0.7__max_features=sqrt.csv
D5,TDN_based_ADF,gb,full,0.004703278139980444,4.541352507092165,3.5283902686118664,/workspace/reports/tuned/D5_TDN_based_ADF_gb_full/cv_n_estimators=200__max_depth=3__learning_rate=0.1__subsample=0.7__max_features=sqrt.csv
D5,TDN_based_ADF,gb,full,-0.01791410099304409,4.564062716663633,3.5302110572339664,/workspace/reports/tuned/D5_TDN_based_ADF_gb_full/cv_n_estimators=200__max_depth=2__learning_rate=0.1__subsample=0.7__max_features=sqrt.csv
D5,TDN_based_ADF,gb,full,-0.02381203987689534,4.596490860624735,3.558745689045998,/workspace/reports/tuned/D5_TDN_based_ADF_gb_full/cv_n_estimators=800__max_depth=2__learning_rate=0.06__subsample=0.7__max_features=sqrt.csv
D5,TDN_based_ADF,gb,full,-0.05697230097312502,4.67153390050983,3.6330464069656676,/workspace/reports/tuned/D5_TDN_based_ADF_gb_full/cv_n_estimators=200__max_depth=4__learning_rate=0.06__subsample=0.7__max_features=sqrt.csv
D5,TDN_based_ADF,gb,full,-0.06171149980334967,4.690917531436182,3.6186060209365722,/workspace/reports/tuned/D5_TDN_based_ADF_gb_full/cv_n_estimators=800__max_depth=3__learning_rate=0.1__subsample=0.7__max_features=sqrt.csv
D5,TDN_based_ADF,gb,full,-0.06306250966249265,4.702606902337915,3.6876122482552964,/workspace/reports/tuned/D5_TDN_based_ADF_gb_full/cv_n_estimators=400__max_depth=4__learning_rate=0.06__subsample=0.7__max_features=sqrt.csv
D5,TDN_based_ADF,gb,full,-0.09527778092859872,4.7804679230129015,3.7085439264092224,/workspace/reports/tuned/D5_TDN_based_ADF_gb_full/cv_n_estimators=800__max_depth=4__learning_rate=0.06__subsample=0.7__max_features=sqrt.csv
D5,TDN_based_ADF,gb,full,-0.11316766775452743,4.799110575523291,3.722268989955226,/workspace/reports/tuned/D5_TDN_based_ADF_gb_full/cv_n_estimators=800__max_depth=2__learning_rate=0.1__subsample=0.7__max_features=sqrt.csv
D5,TDN_based_ADF,gb,full,-0.13490263423066676,4.8068738076870785,3.728778258957437,/workspace/reports/tuned/D5_TDN_based_ADF_gb_full/cv_n_estimators=400__max_depth=2__learning_rate=0.1__subsample=0.7__max_features=sqrt.csv
D5,TDN_based_ADF,gb,full,-0.10754262883929874,4.821433500445909,3.7004340475615995,/workspace/reports/tuned/D5_TDN_based_ADF_gb_full/cv_n_estimators=200__max_depth=4__learning_rate=0.1__subsample=0.7__max_features=sqrt.csv
D5,TDN_based_ADF,gb,full,-0.14140087607492732,4.897178777328117,3.812630975575278,/workspace/reports/tuned/D5_TDN_based_ADF_gb_full/cv_n_estimators=400__max_depth=4__learning_rate=0.1__subsample=0.7__max_features=sqrt.csv
D5,TDN_based_ADF,gb,full,-0.20326082723659528,5.0219925424887615,3.8826055075579915,/workspace/reports/tuned/D5_TDN_based_ADF_gb_full/cv_n_estimators=800__max_depth=4__learning_rate=0.1__subsample=0.7__max_features=sqrt.csv
D7,CP,xgb,clim,0.26220085125143794,1.699199198003258,1.3496947886988777,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=400__max_depth=4__eta=0.1__subsample=0.7__colsample_bytree=0.7__reg_lambda=3.csv
D7,CP,xgb,clim,0.26009988318078886,1.7019720721099225,1.3502228499263182,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=800__max_depth=4__eta=0.1__subsample=0.7__colsample_bytree=0.7__reg_lambda=3.csv
D7,CP,xgb,clim,0.2599762329226182,1.7021206803629134,1.3501519403746465,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=1200__max_depth=4__eta=0.1__subsample=0.7__colsample_bytree=0.7__reg_lambda=3.csv
D7,CP,xgb,clim,0.24004668301153279,1.7162389846516255,1.3542921487196,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=400__max_depth=3__eta=0.1__subsample=0.7__colsample_bytree=0.7__reg_lambda=3.csv
D7,CP,xgb,clim,0.24079416627965525,1.7175042426302798,1.3563026330919863,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=400__max_depth=3__eta=0.06__subsample=0.7__colsample_bytree=0.7__reg_lambda=3.csv
D7,CP,xgb,clim,0.23347259810875004,1.7242973923641436,1.3565784517993351,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=800__max_depth=3__eta=0.1__subsample=0.7__colsample_bytree=0.7__reg_lambda=3.csv
D7,CP,xgb,clim,0.2325802034495421,1.725635609308854,1.3567100846299804,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=1200__max_depth=3__eta=0.1__subsample=0.7__colsample_bytree=0.7__reg_lambda=3.csv
D7,CP,xgb,clim,0.2335248496688326,1.7273625557500059,1.3596294124630601,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=800__max_depth=3__eta=0.06__subsample=0.7__colsample_bytree=0.7__reg_lambda=3.csv
D7,CP,xgb,clim,0.24305785609559302,1.7293285429128757,1.371638920815696,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=400__max_depth=5__eta=0.1__subsample=0.7__colsample_bytree=0.7__reg_lambda=3.csv
D7,CP,xgb,clim,0.23210168519291435,1.7294377935101728,1.359702344062033,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=1200__max_depth=3__eta=0.06__subsample=0.7__colsample_bytree=0.7__reg_lambda=3.csv
D7,CP,xgb,clim,0.24246819427968322,1.7300290142860253,1.372008902988172,/workspace/reports/tuned/D7_CP_xgb_clim/cv_n_estimators=800__max_depth=5__eta=0.1__subsample=0.7__colsample_bytree=0.7__reg_lambda=3.csv
