source,base,target,model,r2,rmse,mae,file
hls,RAW,TDN_based_ADF,ridge,-1.4879391640576594,5.407761043652649,4.537220322725826,/workspace/reports/exp01_hls_RAW_TDN_based_ADF_ridge.csv
hls,RAW,TDN_based_ADF,xgb,0.13060260977860574,3.913811934759151,3.1509424421893146,/workspace/reports/exp01_hls_RAW_TDN_based_ADF_xgb.csv
hlsIDX,D5,CP,gb,-1.321127595988529,2.215966207516376,1.864947229769905,/workspace/reports/exp01_hlsIDX_D5_CP_gb.csv
hlsIDX,D5,CP,linear,-1.9757432324760096,2.5184800739760362,2.0401517992001597,/workspace/reports/exp01_hlsIDX_D5_CP_linear.csv
hlsIDX,D5,CP,mlp,-1.9303239113665391,2.456724218731323,2.1344374955005603,/workspace/reports/exp01_hlsIDX_D5_CP_mlp.csv
hlsIDX,D5,CP,naive,-2.665668183535149,2.825616323348103,2.441676056437821,/workspace/reports/exp01_hlsIDX_D5_CP_naive.csv
hlsIDX,D5,CP,ridge,-3.1392335411604835,2.817334393461097,2.369125072533969,/workspace/reports/exp01_hlsIDX_D5_CP_ridge.csv
hlsIDX,D5,CP,xgb,-1.3542926615100392,2.281274981172154,1.9462558378907155,/workspace/reports/exp01_hlsIDX_D5_CP_xgb.csv
hlsIDX,D5,TDN_based_ADF,gb,-0.004270227920585818,3.9886221303720695,3.2185631044804657,/workspace/reports/exp01_hlsIDX_D5_TDN_based_ADF_gb.csv
hlsIDX,D5,TDN_based_ADF,linear,-0.7636156091247532,5.425829435761054,4.496048080609376,/workspace/reports/exp01_hlsIDX_D5_TDN_based_ADF_linear.csv
hlsIDX,D5,TDN_based_ADF,mlp,-2.5472677361717384,6.471548716961022,5.508761174430664,/workspace/reports/exp01_hlsIDX_D5_TDN_based_ADF_mlp.csv
hlsIDX,D5,TDN_based_ADF,naive,-0.4552029945370792,5.145680633442741,4.201899418480414,/workspace/reports/exp01_hlsIDX_D5_TDN_based_ADF_naive.csv
hlsIDX,D5,TDN_based_ADF,ridge,-1.0018205486536857,5.73304255124917,4.812619945574979,/workspace/reports/exp01_hlsIDX_D5_TDN_based_ADF_ridge.csv
hlsIDX,D5,TDN_based_ADF,xgb,0.006816180884063853,3.980881995785466,3.1958454067057778,/workspace/reports/exp01_hlsIDX_D5_TDN_based_ADF_xgb.csv
hlsIDX,D7,CP,gb,-1.3106292557353332,2.2721372947689646,1.910911795525745,/workspace/reports/exp01_hlsIDX_D7_CP_gb.csv
hlsIDX,D7,CP,linear,-1.8424048123455181,2.532896050722501,2.0731647572134246,/workspace/reports/exp01_hlsIDX_D7_CP_linear.csv
hlsIDX,D7,CP,mlp,-1.2537472726316496,2.2127525551874,1.8594409369950662,/workspace/reports/exp01_hlsIDX_D7_CP_mlp.csv
hlsIDX,D7,CP,naive,-2.3461085550500997,2.738185005231579,2.3303742975183335,/workspace/reports/exp01_hlsIDX_D7_CP_naive.csv
hlsIDX,D7,CP,ridge,-2.705057482813446,2.712036220786136,2.285938650270765,/workspace/reports/exp01_hlsIDX_D7_CP_ridge.csv
hlsIDX,D7,CP,xgb,-1.3004339873399393,2.284160595252527,1.9146660126925492,/workspace/reports/exp01_hlsIDX_D7_CP_xgb.csv
hlsIDX,D7,TDN_based_ADF,gb,0.03273080868804844,3.9119999063285587,3.1547434028451207,/workspace/reports/exp01_hlsIDX_D7_TDN_based_ADF_gb.csv
hlsIDX,D7,TDN_based_ADF,linear,-1.202254379103895,5.760400321669662,4.711526084726865,/workspace/reports/exp01_hlsIDX_D7_TDN_based_ADF_linear.csv
hlsIDX,D7,TDN_based_ADF,mlp,-1.0045809697532577,5.234229000656862,4.425864470218543,/workspace/reports/exp01_hlsIDX_D7_TDN_based_ADF_mlp.csv
hlsIDX,D7,TDN_based_ADF,naive,-0.45017752271338624,5.206238798949116,4.318862277110802,/workspace/reports/exp01_hlsIDX_D7_TDN_based_ADF_naive.csv
hlsIDX,D7,TDN_based_ADF,ridge,-0.9345231430145339,5.712129914495921,4.789090978821485,/workspace/reports/exp01_hlsIDX_D7_TDN_based_ADF_ridge.csv
hlsIDX,D7,TDN_based_ADF,xgb,0.07126211579682717,3.7770001733612646,3.0653823739617523,/workspace/reports/exp01_hlsIDX_D7_TDN_based_ADF_xgb.csv
hlsIDX,RAW,CP,gb,-0.8637415452770116,2.222199582407598,1.885553637198352,/workspace/reports/exp01_hlsIDX_RAW_CP_gb.csv
hlsIDX,RAW,CP,linear,-1.977700801195976,2.86976457313736,2.3890219005233813,/workspace/reports/exp01_hlsIDX_RAW_CP_linear.csv
hlsIDX,RAW,CP,mlp,-1.0022110590476005,2.2110145612023624,1.9250945334099747,/workspace/reports/exp01_hlsIDX_RAW_CP_mlp.csv
hlsIDX,RAW,CP,naive,-2.3136413180022397,2.80683499255321,2.375702540505631,/workspace/reports/exp01_hlsIDX_RAW_CP_naive.csv
hlsIDX,RAW,CP,ridge,-1.9495239680003296,2.781160901489985,2.3038888892795324,/workspace/reports/exp01_hlsIDX_RAW_CP_ridge.csv
