base,target,source,mae_hgb,mae_mlp,mae_xgbnative,r2_hgb,r2_mlp,r2_xgbnative,rmse_hgb,rmse_mlp,rmse_xgbnative
D5,CP,clim,1.509169113604525,1.826178086766212,1.239695415392295,-0.303866237730535,-2.994998348006668,0.0824906669494121,1.7076843802476165,2.0855283222591114,1.4405780742813286
D5,CP,noclim,1.6121471912384209,1.6712170377076514,1.301528256670904,-0.552019586646108,-0.7933918360728207,-0.0104857953595,1.8573575964676663,2.0080263420406768,1.5095069452624854
D5,TDN_based_ADF,clim,3.394144441111956,12.069372442597874,3.0258371634075343,-0.0775990873066073,-13.99911471969201,0.235292308044403,4.213774305147418,13.641937415856042,3.7067429605464186
D5,TDN_based_ADF,noclim,3.4171054348769347,13.710463036138938,2.935216638361731,-0.1119534518404005,-18.16006441733418,0.2464019337351721,4.232977820218472,16.035791449301108,3.5839108210817234
D7,CP,clim,1.452962141760588,1.7432565003526674,1.1459560087738894,-0.3104600694615657,-3.493572248328064,0.1764342301509903,1.7044349998455677,1.9904758656405213,1.3648064394753845
D7,CP,noclim,1.4311617729581068,1.558792400399006,1.2443734077710915,-0.2569004614675219,-0.5315711395031557,0.0369717845133868,1.6928684977905055,1.8820470190144811,1.4908775358431952
D7,TDN_based_ADF,clim,3.3808398378777285,13.392603659026106,2.8414824414953848,0.0066362761196856,-18.90075460495772,0.2771784549199705,4.105241059469466,15.017380026336657,3.480854717050311
D7,TDN_based_ADF,noclim,3.272959461576538,14.509369945451851,2.8808439490660525,0.0517710570428221,-23.15968840805275,0.2995192051680501,3.987981165893757,17.47027217938148,3.5089986006918634
RAW,CP,clim,1.5465654460062688,1.901270310481974,1.3094597773727272,-0.0641683747139331,-1.6993857382321107,0.2210823159742002,1.801987359463876,2.170974045698828,1.5421853259792075
RAW,CP,noclim,1.5410807357849994,1.7018142598313435,1.2731842812875311,-0.1272384657688787,-0.6441309058133595,0.2351345673717454,1.8324260556322451,2.018073825715295,1.534104432128412
RAW,TDN_based_ADF,clim,3.420516229970641,10.473945786908818,2.8130972372441176,0.0177413573544042,-8.505572369497427,0.3289676789429228,4.119794307603398,11.681998553372011,3.4683987798491493
RAW,TDN_based_ADF,noclim,3.4669636528623147,15.333801223013054,2.830975761222126,0.0072001505241095,-22.66912715413579,0.3444519564420901,4.170787387177113,17.06850772631298,3.4475272562210453
