base,target,model,r2_with,r2_without,Δr2,rmse_with,rmse_without,Δrmse(+)↓,mae_with,mae_without,Δmae(+)↓
D5,CP,gb,-0.6534729653175974,-0.3448156326485401,-0.30865733266905726,1.963146578972489,1.7621378688518718,-0.20100871012061705,1.7047990592187756,1.5305107010368002,-0.1742883581819754
D5,CP,linear,-47.393035207771405,-3.308522734168581,-44.08451247360282,5.695145372900077,2.7761756556469472,-2.91896971725313,5.376258743488007,2.375513930781008,-3.000744812706999
D5,CP,mlp,-0.971563600588434,-1.2151801633741002,0.24361656278566612,2.0577007092714847,2.238910970376841,0.1812102611053561,1.8165316735320072,1.972561782170988,0.1560301086389808
D5,CP,naive,,-2.665668183535149,,,2.825616323348103,,,2.441676056437821,
D5,CP,ridge,-23.06498217255849,-3.1245116445389365,-19.940470528019553,4.457219321582891,2.756990074129964,-1.7002292474529273,4.184373254892188,2.413942946857428,-1.77043030803476
D5,CP,xgb,-0.3282707098732814,-0.3127616718792417,-0.015509037994039687,1.7925159407674012,1.7644835643944794,-0.028032376372921775,1.5587661128449215,1.5195257918989744,-0.039240320945947094
D5,TDN_based_ADF,gb,-0.1031020065671944,0.0393904573448164,-0.1424924639120108,4.277685405508527,4.00194759430431,-0.27573781120421703,3.411876527473241,3.280713845848958,-0.13116268162428302
D5,TDN_based_ADF,linear,-28.17041863451545,-4.796296093302372,-23.374122541213076,12.318601632104922,7.826183631318019,-4.492418000786904,10.815149213431017,6.072798100716814,-4.742351112714203
D5,TDN_based_ADF,mlp,-13.100135145540651,-20.253992409969552,7.1538572644289005,14.020012041566178,14.66746859175658,0.6474565501904017,12.63233007186739,13.338317830668986,0.7059877588015961
D5,TDN_based_ADF,ridge,-11.3347770213265,-2.41659268377588,-8.91818433755062,8.805636681193846,6.470245591728282,-2.3353910894655643,7.738904786996903,5.345116018054043,-2.3937887689428603
D5,TDN_based_ADF,xgb,-0.0573557529655842,0.0330811672214393,-0.0904369201870235,4.134194311569193,4.00694688198933,-0.1272474295798629,3.2907581785578346,3.290376530448309,-0.0003816481095255675
D7,CP,gb,-0.4084662304639762,-0.277259566066757,-0.13120666439721917,1.8519558862164545,1.802098925667372,-0.049856960549082396,1.604505547276318,1.5030915195997316,-0.10141402767658625
D7,CP,linear,-15.845944984213892,-2.704492246996602,-13.14145273721729,3.8964113805527503,2.575972653168532,-1.3204387273842184,3.536649702053749,2.158772941196172,-1.377876760857577
D7,CP,mlp,-1.104789334699508,-1.2656559745396927,0.1608666398401848,2.19349851646366,2.2971704582145547,0.10367194175089489,1.9773349595386545,1.9649773854370545,-0.012357574101599988
D7,CP,naive,,-2.3461085550501,,,2.738185005231579,,,2.330374297518333,
D7,CP,ridge,-11.173892189717971,-2.626769034704595,-8.547123155013377,3.44877645969463,2.575772543397716,-0.8730039162969141,3.171463840109815,2.2414308464094286,-0.9300329937003866
D7,CP,xgb,-0.1960457324616632,-0.2702961112041686,0.07425037874250537,1.7442097263666767,1.7931748909304157,0.048965164563739005,1.47492677556536,1.501464460406875,0.026537684841515086
D7,TDN_based_ADF,gb,0.0119336984372609,0.0830143531928701,-0.0710806547556092,4.046358724166633,3.962996016760792,-0.08336270740584117,3.254411861892518,3.268233006999519,0.013821145107001165
D7,TDN_based_ADF,linear,-10.48840745042792,-3.638484290608339,-6.84992315981958,9.491537177982718,7.068555433043318,-2.4229817449394,8.102991927429368,5.620376258594797,-2.482615668834571
D7,TDN_based_ADF,mlp,-12.288455205965892,-20.779854698233542,8.49139949226765,13.703087990689207,14.048432267139551,0.34534427645034427,12.301226451263862,12.33731849281254,0.03609204154867918
D7,TDN_based_ADF,ridge,-6.585152495599312,-2.103278591709348,-4.481873903889964,7.931952460868876,6.114762421259826,-1.8171900396090503,6.875797997537575,5.098973430655675,-1.7768245668819
D7,TDN_based_ADF,xgb,0.0304442295591468,0.1736907409636126,-0.1432465114044658,3.9782435904212488,3.744525556685938,-0.23371803373531064,3.191505760520282,3.050105875552133,-0.14139988496814926
RAW,CP,gb,-0.4482383746474234,-0.6847289593298049,0.23649058468238154,2.053692236407094,2.101628479510044,0.04793624310294975,1.7744699814547336,1.7823920690517028,0.007922087596969218
RAW,CP,linear,-11.19392612214244,-2.673387886599011,-8.520538235543428,3.761974976256595,2.8454945205671858,-0.9164804556894093,3.3821492958302133,2.4631730972677084,-0.9189761985625049
RAW,CP,mlp,-0.4084102477647622,-0.947177463651136,0.5387672158863738,1.9404435460978264,2.22095088238461,0.2805073362867836,1.6831177129637191,1.947979942473521,0.26486222950980176
RAW,CP,naive,,-2.31364131800224,,,2.8068349925532097,,,2.375702540505631,
RAW,CP,ridge,-8.84690137072049,-1.89887083719929,-6.9480305335212,3.2720465964925904,2.57682996189662,-0.6952166345959703,2.94609196383938,2.225551213703742,-0.7205407501356378
RAW,CP,xgb,-0.2638885353680346,-0.6199775054645833,0.3560889700965487,1.9632665991116256,2.063504595323276,0.10023799621165042,1.6826903757117242,1.7659780381409873,0.08328766242926311
RAW,TDN_based_ADF,gb,0.1791088364183969,0.1705788285024782,0.00853000791591868,3.7917164857745775,3.847035817020319,0.0553193312457414,3.086016911734744,3.134492550363844,0.04847563862910009
RAW,TDN_based_ADF,linear,-4.285877622428011,-1.9757483616557143,-2.310129260772296,6.909602956021102,5.894898127733564,-1.0147048282875382,5.994679318561135,4.975150833223479,-1.0195284853376565
RAW,TDN_based_ADF,mlp,-3.757950501905541,-6.321534973902369,2.5635844719968284,8.883984855146357,9.044340761226334,0.1603559060799764,7.953604699253346,7.676100062684981,-0.27750463656836555
RAW,TDN_based_ADF,ridge,-3.1681036718893063,-1.487939164057659,-1.6801645078316474,6.163505791152626,5.407761043652648,-0.7557447474999774,5.320997093445731,4.537220322725825,-0.7837767707199061
RAW,TDN_based_ADF,xgb,0.0954582365518811,0.1306026097786057,-0.03514437322672459,3.938740267519408,3.9138119347591513,-0.024928332760256744,3.197623734229728,3.150942442189314,-0.0466812920404136
