SampleID,mode,has_item,scene_id,scene_datetime,abs_days,used
27,raw,1,HLS.S30.T21KYT.2022153T135109.v2.0,2022-06-02T13:58:08.071000,0,0
28,raw,1,HLS.S30.T21KYT.2022153T135109.v2.0,2022-06-02T13:58:08.071000,0,0
28,raw,1,HLS.S30.T21KYT.2022153T135109.v2.0,2022-06-02T13:58:08.071000,0,0
29,raw,1,HLS.S30.T21KYT.2022153T135109.v2.0,2022-06-02T13:58:08.071000,0,0
29,raw,1,HLS.S30.T21KYT.2022153T135109.v2.0,2022-06-02T13:58:08.071000,0,0
30,raw,1,HLS.S30.T21KYT.2022153T135109.v2.0,2022-06-02T13:58:08.071000,0,0
30,raw,1,HLS.S30.T21KYT.2022153T135109.v2.0,2022-06-02T13:58:08.071000,0,0
31,raw,1,HLS.S30.T21KYT.2022153T135109.v2.0,2022-06-02T13:58:08.071000,0,0
31,raw,1,HLS.S30.T21KYT.2022153T135109.v2.0,2022-06-02T13:58:08.071000,0,0
32,raw,1,HLS.S30.T21KYT.2022153T135109.v2.0,2022-06-02T13:58:08.071000,0,0
32,raw,1,HLS.S30.T21KYT.2022153T135109.v2.0,2022-06-02T13:58:08.071000,0,0
33,raw,1,HLS.S30.T21KYT.2022138T135121.v2.0,2022-05-18T13:58:14.143130,0,1
33,raw,1,HLS.S30.T21KYT.2022138T135121.v2.0,2022-05-18T13:58:14.143130,0,1
34,raw,1,HLS.S30.T21KYT.2022138T135121.v2.0,2022-05-18T13:58:14.143130,0,1
34,raw,1,HLS.S30.T21KYT.2022138T135121.v2.0,2022-05-18T13:58:14.143130,0,1
35,raw,1,HLS.S30.T21KYT.2022138T135121.v2.0,2022-05-18T13:58:14.143130,0,1
35,raw,1,HLS.S30.T21KYT.2022138T135121.v2.0,2022-05-18T13:58:14.143130,0,1
36,raw,1,HLS.S30.T21KYT.2022138T135121.v2.0,2022-05-18T13:58:14.143130,0,1
36,raw,1,HLS.S30.T21KYT.2022138T135121.v2.0,2022-05-18T13:58:14.143130,0,1
37,raw,1,HLS.S30.T21KYT.2022138T135121.v2.0,2022-05-18T13:58:14.143130,0,1
37,raw,1,HLS.S30.T21KYT.2022138T135121.v2.0,2022-05-18T13:58:14.143130,0,1
38,raw,1,HLS.S30.T21KYT.2022138T135121.v2.0,2022-05-18T13:58:14.143130,0,1
38,raw,1,HLS.S30.T21KYT.2022138T135121.v2.0,2022-05-18T13:58:14.143130,0,1
39,raw,1,HLS.S30.T21KYT.2022173T134709.v2.0,2022-06-22T13:58:13.128460,0,1
39,raw,1,HLS.S30.T21KYT.2022173T134709.v2.0,2022-06-22T13:58:13.128460,0,1
40,raw,1,HLS.S30.T21KYT.2022173T134709.v2.0,2022-06-22T13:58:13.128460,0,1
40,raw,1,HLS.S30.T21KYT.2022173T134709.v2.0,2022-06-22T13:58:13.128460,0,1
41,raw,1,HLS.S30.T21KYT.2022173T134709.v2.0,2022-06-22T13:58:13.128460,0,1
41,raw,1,HLS.S30.T21KYT.2022173T134709.v2.0,2022-06-22T13:58:13.128460,0,1
42,raw,1,HLS.S30.T21KYT.2022173T134709.v2.0,2022-06-22T13:58:13.128460,0,1
42,raw,1,HLS.S30.T21KYT.2022173T134709.v2.0,2022-06-22T13:58:13.128460,0,1
43,raw,1,HLS.S30.T21KYT.2022173T134709.v2.0,2022-06-22T13:58:13.128460,0,1
43,raw,1,HLS.S30.T21KYT.2022173T134709.v2.0,2022-06-22T13:58:13.128460,0,1
44,raw,1,HLS.S30.T21KYT.2022173T134709.v2.0,2022-06-22T13:58:13.128460,0,1
44,raw,1,HLS.S30.T21KYT.2022173T134709.v2.0,2022-06-22T13:58:13.128460,0,1
45,raw,1,HLS.S30.T21KYT.2022108T135121.v2.0,2022-04-18T13:58:12.453520,2,1
45,raw,1,HLS.S30.T21KYT.2022108T135121.v2.0,2022-04-18T13:58:12.453520,2,1
46,raw,1,HLS.S30.T21KYT.2022108T135121.v2.0,2022-04-18T13:58:12.453520,2,1
46,raw,1,HLS.S30.T21KYT.2022108T135121.v2.0,2022-04-18T13:58:12.453520,2,1
47,raw,1,HLS.S30.T21KYT.2022108T135121.v2.0,2022-04-18T13:58:12.453520,2,1
47,raw,1,HLS.S30.T21KYT.2022108T135121.v2.0,2022-04-18T13:58:12.453520,2,1
48,raw,1,HLS.S30.T21KYT.2022108T135121.v2.0,2022-04-18T13:58:12.453520,2,1
48,raw,1,HLS.S30.T21KYT.2022108T135121.v2.0,2022-04-18T13:58:12.453520,2,1
49,raw,1,HLS.S30.T21KYT.2022108T135121.v2.0,2022-04-18T13:58:12.453520,2,1
49,raw,1,HLS.S30.T21KYT.2022108T135121.v2.0,2022-04-18T13:58:12.453520,2,1
50,raw,1,HLS.S30.T21KYT.2022108T135121.v2.0,2022-04-18T13:58:12.453520,2,1
50,raw,1,HLS.S30.T21KYT.2022108T135121.v2.0,2022-04-18T13:58:12.453520,2,1
51,raw,1,HLS.S30.T21KYT.2022098T135111.v2.0,2022-04-08T13:58:09.453080,2,0
51,raw,1,HLS.S30.T21KYT.2022098T135111.v2.0,2022-04-08T13:58:09.453080,2,0
52,raw,1,HLS.S30.T21KYT.2022098T135111.v2.0,2022-04-08T13:58:09.453080,2,0
52,raw,1,HLS.S30.T21KYT.2022098T135111.v2.0,2022-04-08T13:58:09.453080,2,0
53,raw,1,HLS.S30.T21KYT.2022098T135111.v2.0,2022-04-08T13:58:09.453080,2,0
53,raw,1,HLS.S30.T21KYT.2022098T135111.v2.0,2022-04-08T13:58:09.453080,2,0
54,raw,1,HLS.S30.T21KYT.2022098T135111.v2.0,2022-04-08T13:58:09.453080,2,0
54,raw,1,HLS.S30.T21KYT.2022098T135111.v2.0,2022-04-08T13:58:09.453080,2,0
55,raw,1,HLS.S30.T21KYT.2022098T135111.v2.0,2022-04-08T13:58:09.453080,2,0
55,raw,1,HLS.S30.T21KYT.2022098T135111.v2.0,2022-04-08T13:58:09.453080,2,0
56,raw,1,HLS.S30.T21KYT.2022098T135111.v2.0,2022-04-08T13:58:09.453080,2,0
56,raw,1,HLS.S30.T21KYT.2022098T135111.v2.0,2022-04-08T13:58:09.453080,2,0
57,raw,1,HLS.S30.T21KYT.2022098T135111.v2.0,2022-04-08T13:58:09.453080,2,0
57,raw,1,HLS.S30.T21KYT.2022098T135111.v2.0,2022-04-08T13:58:09.453080,2,0
58,raw,1,HLS.S30.T21KYT.2022098T135111.v2.0,2022-04-08T13:58:09.453080,2,0
58,raw,1,HLS.S30.T21KYT.2022098T135111.v2.0,2022-04-08T13:58:09.453080,2,0
59,raw,1,HLS.S30.T21KYT.2022098T135111.v2.0,2022-04-08T13:58:09.453080,2,0
59,raw,1,HLS.S30.T21KYT.2022098T135111.v2.0,2022-04-08T13:58:09.453080,2,0
60,raw,1,HLS.S30.T21KYT.2022098T135111.v2.0,2022-04-08T13:58:09.453080,2,0
60,raw,1,HLS.S30.T21KYT.2022098T135111.v2.0,2022-04-08T13:58:09.453080,2,0
61,raw,1,HLS.S30.T21KYT.2022213T134709.v2.0,2022-08-01T13:58:13.222500,2,1
61,raw,1,HLS.S30.T21KYT.2022213T134709.v2.0,2022-08-01T13:58:13.222500,2,1
62,raw,1,HLS.S30.T21KYT.2022213T134709.v2.0,2022-08-01T13:58:13.222500,2,1
62,raw,1,HLS.S30.T21KYT.2022213T134709.v2.0,2022-08-01T13:58:13.222500,2,1
63,raw,1,HLS.S30.T21KYT.2022213T134709.v2.0,2022-08-01T13:58:13.222500,2,1
63,raw,1,HLS.S30.T21KYT.2022213T134709.v2.0,2022-08-01T13:58:13.222500,2,1
64,raw,1,HLS.S30.T21KYT.2022213T134709.v2.0,2022-08-01T13:58:13.222500,2,1
64,raw,1,HLS.S30.T21KYT.2022213T134709.v2.0,2022-08-01T13:58:13.222500,2,1
65,raw,1,HLS.S30.T21KYT.2022213T134709.v2.0,2022-08-01T13:58:13.222500,2,1
65,raw,1,HLS.S30.T21KYT.2022213T134709.v2.0,2022-08-01T13:58:13.222500,2,1
66,raw,1,HLS.S30.T21KYT.2022213T134709.v2.0,2022-08-01T13:58:13.222500,2,1
66,raw,1,HLS.S30.T21KYT.2022213T134709.v2.0,2022-08-01T13:58:13.222500,2,1
67,raw,1,HLS.S30.T21KYT.2022213T134709.v2.0,2022-08-01T13:58:13.222500,2,1
67,raw,1,HLS.S30.T21KYT.2022213T134709.v2.0,2022-08-01T13:58:13.222500,2,1
