Sample,Sub_Sample,Date_std,granule_id,granule_time,cloud_cover
33,1,2022-05-18,G2275176481-LPCLOUD,2022-05-18T13:58:14.143000,6
33,2,2022-05-18,G2275176481-LPCLOUD,2022-05-18T13:58:14.143000,6
34,1,2022-05-18,G2275176481-LPCLOUD,2022-05-18T13:58:14.143000,6
34,2,2022-05-18,G2275176481-LPCLOUD,2022-05-18T13:58:14.143000,6
35,1,2022-05-18,G2275176481-LPCLOUD,2022-05-18T13:58:14.143000,6
35,2,2022-05-18,G2275176481-LPCLOUD,2022-05-18T13:58:14.143000,6
36,1,2022-05-18,G2275176481-LPCLOUD,2022-05-18T13:58:14.143000,6
36,2,2022-05-18,G2275176481-LPCLOUD,2022-05-18T13:58:14.143000,6
37,1,2022-05-18,G2275176481-LPCLOUD,2022-05-18T13:58:14.143000,6
37,2,2022-05-18,G2275176481-LPCLOUD,2022-05-18T13:58:14.143000,6
38,1,2022-05-18,G2275176481-LPCLOUD,2022-05-18T13:58:14.143000,6
38,2,2022-05-18,G2275176481-LPCLOUD,2022-05-18T13:58:14.143000,6
39,1,2022-06-22,G2305043598-LPCLOUD,2022-06-22T13:58:13.128000,14
39,2,2022-06-22,G2305043598-LPCLOUD,2022-06-22T13:58:13.128000,14
40,1,2022-06-22,G2305043598-LPCLOUD,2022-06-22T13:58:13.128000,14
40,2,2022-06-22,G2305043598-LPCLOUD,2022-06-22T13:58:13.128000,14
41,1,2022-06-22,G2305043598-LPCLOUD,2022-06-22T13:58:13.128000,14
41,2,2022-06-22,G2305043598-LPCLOUD,2022-06-22T13:58:13.128000,14
42,1,2022-06-22,G2305043598-LPCLOUD,2022-06-22T13:58:13.128000,14
42,2,2022-06-22,G2305043598-LPCLOUD,2022-06-22T13:58:13.128000,14
43,1,2022-06-22,G2305043598-LPCLOUD,2022-06-22T13:58:13.128000,14
43,2,2022-06-22,G2305043598-LPCLOUD,2022-06-22T13:58:13.128000,14
44,1,2022-06-22,G2305043598-LPCLOUD,2022-06-22T13:58:13.128000,14
44,2,2022-06-22,G2305043598-LPCLOUD,2022-06-22T13:58:13.128000,14
45,1,2022-04-20,G2254003945-LPCLOUD,2022-04-18T13:58:12.453000,0
45,2,2022-04-20,G2254003945-LPCLOUD,2022-04-18T13:58:12.453000,0
46,1,2022-04-20,G2254003945-LPCLOUD,2022-04-18T13:58:12.453000,0
46,2,2022-04-20,G2254003945-LPCLOUD,2022-04-18T13:58:12.453000,0
47,1,2022-04-20,G2254003945-LPCLOUD,2022-04-18T13:58:12.453000,0
