base,source,target,model,r2,rmse,mae,file,use_variant,is_champion
D7,noclim,TDN_based_ADF,mlp,-4.583181,8.993678,7.5159106,/workspace/reports/exp03/exp03_D7_TDN_based_ADF_mlp_noclim_lodo_FINAL.csv,fs15,False
D7,clim,TDN_based_ADF,xgbnative,0.3663539469773391,3.29664385941279,2.5935587387405312,/workspace/reports/exp03/exp03_D7_TDN_based_ADF_xgbnative_clim_lodo_FINAL.csv,fs15,True
D7,noclim,TDN_based_ADF,xgbnative,0.3379017425917904,3.4026971605281564,2.7526902151838133,/workspace/reports/exp03/exp03_D7_TDN_based_ADF_xgbnative_noclim_lodo_FINAL.csv,fs15,True
RAW,clim,CP,hgb,-0.0641683747139331,1.801987359463876,1.5465654460062688,/workspace/reports/exp03/exp03_RAW_CP_hgb_clim_lodo_FINAL.csv,full,False
RAW,noclim,CP,hgb,-0.0568233105089862,1.7760619979944698,1.4818632721187954,/workspace/reports/exp03/exp03_RAW_CP_hgb_noclim_lodo_FINAL.csv,fs15,False
RAW,clim,CP,mlp,0.30851442,1.5131696,1.2678133,/workspace/reports/exp03/exp03_RAW_CP_mlp_clim_lodo_FINAL.csv,fs15,True
RAW,noclim,CP,mlp,0.2592338,1.5651727,1.265591,/workspace/reports/exp03/exp03_RAW_CP_mlp_noclim_lodo_FINAL.csv,fs15,True
RAW,clim,CP,xgbnative,0.2964941330577439,1.481566095527175,1.2240905123316312,/workspace/reports/exp03/exp03_RAW_CP_xgbnative_clim_lodo_FINAL.csv,fs15,False
RAW,noclim,CP,xgbnative,0.2351345673717454,1.534104432128412,1.2731842812875311,/workspace/reports/exp03/exp03_RAW_CP_xgbnative_noclim_lodo_FINAL.csv,full,False
RAW,clim,TDN_based_ADF,hgb,0.1978451319904859,3.732816814237375,2.9935653468497456,/workspace/reports/exp03/exp03_RAW_TDN_based_ADF_hgb_clim_lodo_FINAL.csv,fs15,False
RAW,noclim,TDN_based_ADF,hgb,0.0590099662439868,4.080982617135669,3.474471577886101,/workspace/reports/exp03/exp03_RAW_TDN_based_ADF_hgb_noclim_lodo_FINAL.csv,fs15,False
RAW,clim,TDN_based_ADF,mlp,-3.7249699,8.102086,6.992279,/workspace/reports/exp03/exp03_RAW_TDN_based_ADF_mlp_clim_lodo_FINAL.csv,fs15,False
RAW,noclim,TDN_based_ADF,mlp,-3.1267543,7.562962,6.0624633,/workspace/reports/exp03/exp03_RAW_TDN_based_ADF_mlp_noclim_lodo_FINAL.csv,fs15,False
RAW,clim,TDN_based_ADF,xgbnative,0.3879509984510851,3.315436423844256,2.573644712145965,/workspace/reports/exp03/exp03_RAW_TDN_based_ADF_xgbnative_clim_lodo_FINAL.csv,fs15,True
RAW,noclim,TDN_based_ADF,xgbnative,0.3444519564420901,3.4475272562210453,2.830975761222126,/workspace/reports/exp03/exp03_RAW_TDN_based_ADF_xgbnative_noclim_lodo_FINAL.csv,full,True
