base,target,model,with_climate_x,r2_without,rmse_without,mae_without,source_without,with_climate_y,r2_with,rmse_with,mae_with,source_with,dR2,dRMSE,dMAE
D5,CP,gb,0,-1.220506418701352,2.3312813831460835,2.04691158091109,exp01_D5_CP_gb.csv,1,-1.0683947174664683,2.2058229748065887,1.931833428606932,exp01_D5_CP_gb_clim.csv,0.1521117012348836,0.12545840833949473,0.11507815230415797
D5,CP,linear,0,-3.308522734168581,2.7761756556469472,2.375513930781008,exp01_D5_CP_linear.csv,1,-3.308522734168581,2.7761756556469472,2.375513930781008,exp01_D5_CP_linear_clim.csv,0.0,0.0,0.0
D5,CP,ridge,0,-3.1245116445389365,2.756990074129964,2.413942946857428,exp01_D5_CP_ridge.csv,1,-32.3846961674232,4.79303686682904,4.532873480098753,exp01_D5_CP_ridge_clim.csv,-29.260184522884263,-2.0360467926990764,-2.118930533241325
D5,CP,xgb,0,-1.1999571147317298,2.3372289654585896,2.0428224660768604,exp01_D5_CP_xgb.csv,1,-1.0806283884731411,2.2319356629120244,1.9140138371743052,exp01_D5_CP_xgb_clim.csv,0.1193287262585887,0.10529330254656522,0.12880862890255518
D5,TDN,gb,0,-0.6932505507094368,5.2497121107388365,4.247097403782044,exp01_D5_TDN_gb.csv,1,-0.8662455861130508,5.711352451382454,4.781488889404389,exp01_D5_TDN_gb_clim.csv,-0.17299503540361405,-0.46164034064361736,-0.5343914856223444
D5,TDN,linear,0,-4.796296093302372,7.82618363131802,6.072798100716815,exp01_D5_TDN_linear.csv,1,-4.796296093302372,7.82618363131802,6.072798100716815,exp01_D5_TDN_linear_clim.csv,0.0,0.0,0.0
D5,TDN,ridge,0,-2.41659268377588,6.470245591728282,5.345116018054043,exp01_D5_TDN_ridge.csv,1,-3.0129153807571845,7.044943678420032,5.941943812073695,exp01_D5_TDN_ridge_clim.csv,-0.5963226969813045,-0.5746980866917504,-0.596827794019652
D5,TDN,xgb,0,-0.8350480181949002,5.475542440666781,4.48615069370944,exp01_D5_TDN_xgb.csv,1,-0.6653330873423701,5.297384272055118,4.409147081089114,exp01_D5_TDN_xgb_clim.csv,0.1697149308525301,0.17815816861166311,0.0770036126203264
D7,CP,gb,0,-1.0607325144927715,2.317595827945641,1.9590471267633391,exp01_D7_CP_gb.csv,1,-1.032961971850567,2.3040268970417275,1.951086611074548,exp01_D7_CP_gb_clim.csv,0.027770542642204576,0.013568930903913312,0.007960515688791192
D7,CP,linear,0,-2.704492246996602,2.5759726531685323,2.158772941196172,exp01_D7_CP_linear.csv,1,-2.704492246996602,2.5759726531685323,2.158772941196172,exp01_D7_CP_linear_clim.csv,0.0,0.0,0.0
