base,source,target,model,r2_full,rmse_full,mae_full,r2_fs15,rmse_fs15,mae_fs15,Δr2(fs15-full),Δrmse(fs15-full),Δmae(fs15-full)
RAW,clim,CP,hgb,-0.0641683747139331,1.801987359463876,1.5465654460062688,-0.1385452225669748,1.845149225210862,1.5856014071479945,-0.0743768478530417,-0.0431618657469861,-0.0390359611417256
RAW,clim,CP,mlp,-1.6993857382321107,2.170974045698828,1.901270310481974,0.30851442,1.5131696,1.2678133,2.0079001582321108,0.6578044456988281,0.6334570104819739
RAW,clim,CP,xgbnative,0.2210823159742002,1.5421853259792075,1.3094597773727272,0.2964941330577439,1.481566095527175,1.2240905123316312,0.0754118170835437,0.0606192304520325,0.0853692650410959
RAW,clim,TDN_based_ADF,hgb,0.0177413573544042,4.119794307603398,3.420516229970641,0.1978451319904859,3.732816814237375,2.9935653468497456,0.1801037746360816,0.386977493366023,0.4269508831208952
RAW,clim,TDN_based_ADF,mlp,-8.505572369497427,11.681998553372011,10.473945786908818,-3.7249699,8.102086,6.992279,4.780602469497428,3.5799125533720115,3.481666786908818
RAW,clim,TDN_based_ADF,xgbnative,0.3289676789429228,3.4683987798491493,2.8130972372441176,0.3879509984510851,3.315436423844256,2.573644712145965,0.0589833195081623,0.1529623560048936,0.2394525250981525
