base,target,source,model,cv,mae_fs15,mae_full,r2_fs15,r2_full,rmse_fs15,rmse_full,Δr2(fs15-full),Δrmse(fs15-full),Δmae(fs15-full)
D5,CP,clim,hgb,lodo,1.3223484563286871,1.509169113604525,0.05808144579590325,-0.303866237730535,1.5293876723284947,1.7076843802476165,0.36194768352643825,0.17829670791912178,0.18682065727583796
D5,CP,clim,mlp,lodo,1.1112508,1.826178086766212,0.34643242,-2.994998348006668,1.2956936,2.0855283222591114,3.3414307680066684,0.7898347222591116,0.714927286766212
D5,CP,clim,xgbnative,lodo,1.0723480644157541,1.239695415392295,0.3041884805308952,0.0824906669494121,1.2728246718424066,1.4405780742813286,0.2216978135814831,0.167753402438922,0.16734735097654085
D5,CP,noclim,hgb,lodo,1.6163113066180306,1.6121471912384209,-0.5512553906781699,-0.552019586646108,1.853414852322288,1.8573575964676663,0.0007641959679380861,0.0039427441453783185,-0.004164115379609701
D5,CP,noclim,mlp,lodo,1.1538572,1.6712170377076514,0.21455821,-0.7933918360728207,1.4020964,2.0080263420406768,1.0079500460728208,0.6059299420406767,0.5173598377076514
D5,CP,noclim,xgbnative,lodo,1.3100209578923747,1.301528256670904,-0.0467694249238271,-0.0104857953595,1.5372740415966226,1.5095069452624854,-0.036283629564327104,-0.02776709633413721,-0.008492701221470611
D5,TDN_based_ADF,clim,hgb,lodo,3.505501691833927,3.394144441111956,-0.17756971590027776,-0.0775990873066073,4.419278886479538,4.213774305147418,-0.09997062859367045,-0.20550458133211968,-0.11135725072197067
D5,TDN_based_ADF,clim,mlp,lodo,7.5429664,12.069372442597874,-4.3089294,-13.99911471969201,8.549432,13.641937415856042,9.69018531969201,5.092505415856042,4.526406042597874
D5,TDN_based_ADF,clim,xgbnative,lodo,3.025372855420028,3.0258371634075343,0.17897983318290814,0.235292308044403,3.783314561811937,3.7067429605464186,-0.05631247486149485,-0.07657160126551821,0.00046430798750618507
D5,TDN_based_ADF,noclim,hgb,lodo,3.4686490733235242,3.4171054348769347,-0.12468311907836996,-0.1119534518404005,4.2756581635595925,4.232977820218472,-0.012729667237969464,-0.0426803433411207,-0.05154363844658949
D5,TDN_based_ADF,noclim,mlp,lodo,9.178145,13.710463036138938,-7.348905,-18.16006441733418,10.858911,16.035791449301108,10.81115941733418,5.176880449301107,4.532318036138937
D5,TDN_based_ADF,noclim,xgbnative,lodo,3.1384081737547005,2.935216638361731,0.17312447499800068,0.2464019337351721,3.820856161560949,3.5839108210817234,-0.07327745873717142,-0.23694534047922566,-0.2031915353929694
D7,CP,clim,hgb,lodo,1.265938795915562,1.452962141760588,0.08784832586681497,-0.3104600694615657,1.4721970604127619,1.7044349998455677,0.39830839532838064,0.2322379394328058,0.1870233458450261
D7,CP,clim,mlp,lodo,1.0494637,1.7432565003526674,0.38509595,-3.493572248328064,1.2656873,1.9904758656405213,3.878668198328064,0.7247885656405213,0.6937928003526674
D7,CP,clim,xgbnative,lodo,1.0419628577324511,1.1459560087738894,0.3125341011042917,0.1764342301509903,1.2687304482880535,1.3648064394753845,0.1360998709533014,0.09607599118733101,0.10399315104143825
D7,CP,noclim,hgb,lodo,1.3928725046650745,1.4311617729581068,-0.1338489916956595,-0.2569004614675219,1.6183868283028846,1.6928684977905055,0.12305146977186238,0.07448166948762092,0.03828926829303225
D7,CP,noclim,mlp,lodo,1.0803882,1.558792400399006,0.3239049,-0.5315711395031557,1.3171862,1.8820470190144811,0.8554760395031558,0.564860819014481,0.4784042003990059
D7,CP,noclim,xgbnative,lodo,1.2246981613783123,1.2443734077710915,0.10089211470944999,0.0369717845133868,1.4504090855641558,1.4908775358431952,0.06392033019606319,0.040468450279039336,0.019675246392779178
D7,TDN_based_ADF,clim,hgb,lodo,3.092598566736423,3.3808398378777285,0.07547116659808943,0.0066362761196856,3.8660825600535906,4.105241059469466,0.06883489047840383,0.23915849941587553,0.2882412711413056
D7,TDN_based_ADF,clim,mlp,lodo,6.8098507,13.392603659026106,-3.1648028,-18.90075460495772,8.025239,15.017380026336657,15.735951804957718,6.9921410263366575,6.582752959026106
D7,TDN_based_ADF,clim,xgbnative,lodo,2.5935587387405312,2.8414824414953848,0.3663539469773391,0.2771784549199705,3.29664385941279,3.480854717050311,0.08917549205736858,0.1842108576375212,0.24792370275485354
D7,TDN_based_ADF,noclim,hgb,lodo,3.1937021150611913,3.272959461576538,0.1054777162334155,0.0517710570428221,3.9002578535705363,3.987981165893757,0.05370665919059339,0.08772331232322061,0.07925734651534677
D7,TDN_based_ADF,noclim,mlp,lodo,7.5159106,14.509369945451851,-4.583181,-23.15968840805275,8.993678,17.47027217938148,18.576507408052752,8.476594179381483,6.993459345451852
D7,TDN_based_ADF,noclim,xgbnative,lodo,2.7526902151838133,2.8808439490660525,0.3379017425917904,0.2995192051680501,3.4026971605281564,3.5089986006918634,0.038382537423740315,0.10630144016370702,0.12815373388223916
