target,model,ΔR2(D7-RAW),ΔR2(D5-RAW),ΔR2(D5-D7)
CP,mlp,0.004213414266600046,0.06194540246713842,0.057731988200538376
TDN_based_ADF,xgbnative,-0.0158012969189886,-0.14902777947249715,-0.13322648255350855
