feature,mean_gain,median_rank,freq_top20,n_folds
B9,4.690751860539119,1.0,0.9333333333333333,15
B6,1.3724408388137816,2.0,1.0,15
B5,1.150642341375351,3.0,1.0,15
SampleID,1.0323389271895091,4.0,1.0,15
Longitude,1.0302982568740844,5.0,1.0,15
Latitude,0.9695279558499654,7.0,1.0,15
TDN_based_ADF,0.9575329780578613,6.0,1.0,15
B7,0.9104269981384278,8.0,1.0,15
GEMI,0.9069426417350769,8.0,1.0,15
B8A,0.6747283061345418,11.0,1.0,15
B3,0.5929970731337865,12.0,0.9333333333333333,15
B1,0.5838761369387309,12.0,1.0,15
EVI,0.5128337581952412,14.0,1.0,15
B11,0.5008738507827123,16.0,0.9333333333333333,15
B4,0.4878985504309336,14.0,1.0,15
Delta_days,0.4073278745015462,16.0,0.8666666666666667,15
B8,0.4011136323213577,17.0,0.8,15
DVI,0.3921304851770401,17.0,0.8666666666666667,15
LAI,0.27381762452423575,20.0,0.6,15
NDVI,0.2514944205681483,21.0,0.4666666666666667,15
B2,0.2442615975936254,20.0,0.5333333333333333,15
GCI,0.22124673202633857,23.0,0.2,15
B12,0.20840234607458114,20.0,0.5333333333333333,15
NDWI,0.19357102513313293,22.0,0.2,15
SAVI,0.1263165200750033,25.0,0.13333333333333333,15
