SampleID,mode,has_item,in_window,n_scenes_window,scene_datetimes,cloud_frac_median
29,d7,1,1,2,"2022-05-28T13:58:16.091600,2022-06-07T13:58:16.748900",0.0
30,d7,1,1,2,"2022-05-28T13:58:16.091600,2022-06-07T13:58:16.748900",0.0
30,d7,1,1,2,"2022-05-28T13:58:16.091600,2022-06-07T13:58:16.748900",0.0
31,d7,1,1,2,"2022-05-28T13:58:16.091600,2022-06-07T13:58:16.748900",0.0
31,d7,1,1,2,"2022-05-28T13:58:16.091600,2022-06-07T13:58:16.748900",0.0
32,d7,1,1,2,"2022-05-28T13:58:16.091600,2022-06-07T13:58:16.748900",0.0
32,d7,1,1,2,"2022-05-28T13:58:16.091600,2022-06-07T13:58:16.748900",0.0
33,d7,1,1,2,"2022-05-13T13:58:06.917390,2022-05-18T13:58:14.143130",0.0
33,d7,1,1,2,"2022-05-13T13:58:06.917390,2022-05-18T13:58:14.143130",0.0
34,d7,1,1,2,"2022-05-13T13:58:06.917390,2022-05-18T13:58:14.143130",0.0
34,d7,1,1,2,"2022-05-13T13:58:06.917390,2022-05-18T13:58:14.143130",0.0
35,d7,1,1,2,"2022-05-13T13:58:06.917390,2022-05-18T13:58:14.143130",0.0
35,d7,1,1,2,"2022-05-13T13:58:06.917390,2022-05-18T13:58:14.143130",0.0
36,d7,1,1,2,"2022-05-13T13:58:06.917390,2022-05-18T13:58:14.143130",0.0
36,d7,1,1,2,"2022-05-13T13:58:06.917390,2022-05-18T13:58:14.143130",0.0
37,d7,1,1,2,"2022-05-13T13:58:06.917390,2022-05-18T13:58:14.143130",0.0
37,d7,1,1,2,"2022-05-13T13:58:06.917390,2022-05-18T13:58:14.143130",0.0
38,d7,1,1,2,"2022-05-13T13:58:06.917390,2022-05-18T13:58:14.143130",0.0
38,d7,1,1,2,"2022-05-13T13:58:06.917390,2022-05-18T13:58:14.143130",0.0
39,d7,1,1,2,"2022-06-22T13:58:13.128460,2022-06-27T13:58:21.197430",0.0
39,d7,1,1,2,"2022-06-22T13:58:13.128460,2022-06-27T13:58:21.197430",0.0
40,d7,1,1,2,"2022-06-22T13:58:13.128460,2022-06-27T13:58:21.197430",0.0
40,d7,1,1,2,"2022-06-22T13:58:13.128460,2022-06-27T13:58:21.197430",0.0
41,d7,1,1,2,"2022-06-22T13:58:13.128460,2022-06-27T13:58:21.197430",0.0
41,d7,1,1,2,"2022-06-22T13:58:13.128460,2022-06-27T13:58:21.197430",0.0
42,d7,1,1,2,"2022-06-22T13:58:13.128460,2022-06-27T13:58:21.197430",0.0
42,d7,1,1,2,"2022-06-22T13:58:13.128460,2022-06-27T13:58:21.197430",0.0
43,d7,1,1,2,"2022-06-22T13:58:13.128460,2022-06-27T13:58:21.197430",0.0
43,d7,1,1,2,"2022-06-22T13:58:13.128460,2022-06-27T13:58:21.197430",0.0
