Date,DOY,Sample,Sub-Sample,Lat,Long_,Sample_type,Animals,DM,MM,Biomass,NDF,ADF,CP,TDN_based_ADF,TDN_based_NDF,Satellite_Images_Dates,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDVI,NDWI,EVI,LAI,DVI,GCI,GEMI,SAVI,TEMP_MAX,TEMP_MIN,RAD_SOL,RAIN,WIND_SPD,EVAPOT,PRES_ATM,HUM_REL,TP_SFC_AVG,Wind_Dir,Dew_Point,Radiative_Dif_AVG,Radiative_Direct_AVG,PPFD,Longwave_Rad_AVG
2022-11-03,307,92,1,-20.446566,-54.838467,Q1,1,22.54030759,7.663005667,3653.666667,66.5816849,37.64335542,11.28527577,59.57582613,56.01877923,2022-10-30,1664.0,1777.0,2130.0,2123.0,2887.0,4132.0,4402.0,4166.0,4511.0,4377.0,3831.0,2900.0,0.3248529177929719,0.08151522416686646,0.26517039436795214,0.8413864868232508,2043.0,0.955868544600939,-4171472.364146358,0.4872406391605056,32.8,23.8,26.51,0.4,22.1,6.71,1005.870833,61.0,12.049071812499998,140.6838972222222,3.75902777777778,69.67180108093059,314.93563732692195,586.1556749672419,333.1531491666667
2022-11-03,307,92,2,-20.446566,-54.838467,Q1,1,22.46112616,7.739898764,3653.666667,67.04680176,38.39797703,11.28527577,58.9879759,55.82477899,2022-10-30,1664.0,1777.0,2130.0,2123.0,2887.0,4132.0,4402.0,4166.0,4511.0,4377.0,3831.0,2900.0,0.3248529177929719,0.08151522416686646,0.26517039436795214,0.8413864868232508,2043.0,0.955868544600939,-4171472.364146358,0.4872406391605056,32.8,23.8,26.51,0.4,22.1,6.71,1005.870833,61.0,12.049071812499998,140.6838972222222,3.75902777777778,69.67180108093059,314.93563732692195,586.1556749672419,333.1531491666667
2022-11-03,307,93,1,-20.44644733,-54.838841,Q2,1,37.37379936,10.15481565,1591.666667,69.74194528,44.01067049,6.529754381,54.61568769,54.70063462,2022-10-30,1819.0,1805.0,2145.0,2109.0,2913.0,4131.0,4410.0,4232.0,4468.0,4374.0,3795.0,2905.0,0.33480523576722915,0.0814474161926661,0.27509122195961355,0.8772800410498818,2123.0,0.9729603729603729,-4504648.805204692,0.5021682567215958,32.8,23.8,26.51,0.4,22.1,6.71,1005.870833,61.0,12.049071812499998,140.6838972222222,3.75902777777778,69.67180108093059,314.93563732692195,586.1556749672419,333.1531491666667
2022-11-03,307,93,2,-20.44644733,-54.838841,Q2,1,37.39178209,10.5051775,1591.666667,70.11687747,41.93847153,6.529754381,56.22993068,54.54425041,2022-10-30,1819.0,1805.0,2145.0,2109.0,2913.0,4131.0,4410.0,4232.0,4468.0,4374.0,3795.0,2905.0,0.33480523576722915,0.0814474161926661,0.27509122195961355,0.8772800410498818,2123.0,0.9729603729603729,-4504648.805204692,0.5021682567215958,32.8,23.8,26.51,0.4,22.1,6.71,1005.870833,61.0,12.049071812499998,140.6838972222222,3.75902777777778,69.67180108093059,314.93563732692195,586.1556749672419,333.1531491666667
2022-11-03,307,94,1,-20.446119,-54.838975,Q3,1,31.24507329,10.11710332,3443.666667,63.52234164,37.26644043,6.245302578,59.86944291,57.2948313,2022-10-30,1964.0,1829.0,2136.0,2142.0,2910.0,4148.0,4412.0,4192.0,4493.0,4408.0,3799.0,2872.0,0.3236501420903063,0.08369512783405693,0.26509351982123647,0.8411083547132335,2050.0,0.9625468164794007,-4200116.460066466,0.4854368932038835,32.8,23.8,26.51,0.4,22.1,6.71,1005.870833,61.0,12.049071812499998,140.6838972222222,3.75902777777778,69.67180108093059,314.93563732692195,586.1556749672419,333.1531491666667
2022-11-03,307,94,2,-20.446119,-54.838975,Q3,1,31.14374434,10.16975063,3443.666667,66.58714338,40.0877462,6.15734057,57.67164571,56.0165025,2022-10-30,1964.0,1829.0,2136.0,2142.0,2910.0,4148.0,4412.0,4192.0,4493.0,4408.0,3799.0,2872.0,0.3236501420903063,0.08369512783405693,0.26509351982123647,0.8411083547132335,2050.0,0.9625468164794007,-4200116.460066466,0.4854368932038835,32.8,23.8,26.51,0.4,22.1,6.71,1005.870833,61.0,12.049071812499998,140.6838972222222,3.75902777777778,69.67180108093059,314.93563732692195,586.1556749672419,333.1531491666667
2022-11-03,307,95,1,-20.44663,-54.83974067,Q4,1,36.83461304,7.654447318,2897.666667,73.35071128,46.81914953,5.846966965,52.42788252,53.19541832,2022-10-30,2088.0,1992.0,2405.0,2370.0,3097.0,4306.0,4610.0,4466.0,4693.0,4639.0,4024.0,3112.0,0.30661205383265067,0.07674658712859929,0.2599980152823261,0.8226728192914557,2096.0,0.856964656964657,-4390796.872968842,0.4598844437943392,32.8,23.8,26.51,0.4,22.1,6.71,1005.870833,61.0,12.049071812499998,140.6838972222222,3.75902777777778,69.67180108093059,314.93563732692195,586.1556749672419,333.1531491666667
2022-11-03,307,95,2,-20.44663,-54.83974067,Q4,1,36.83080781,7.84896973,2897.666667,75.98708699,46.892452,5.758376556,52.37077989,52.09578602,2022-10-30,2088.0,1992.0,2405.0,2370.0,3097.0,4306.0,4610.0,4466.0,4693.0,4639.0,4024.0,3112.0,0.30661205383265067,0.07674658712859929,0.2599980152823261,0.8226728192914557,2096.0,0.856964656964657,-4390796.872968842,0.4598844437943392,32.8,23.8,26.51,0.4,22.1,6.71,1005.870833,61.0,12.049071812499998,140.6838972222222,3.75902777777778,69.67180108093059,314.93563732692195,586.1556749672419,333.1531491666667
2022-11-03,307,96,1,-20.44658267,-54.83848333,G1,1,29.14996583,9.587896174,3006.0,66.82285866,40.39957952,8.834383197,57.42872756,55.91818565,2022-10-30,1664.0,1777.0,2130.0,2123.0,2887.0,4132.0,4402.0,4166.0,4511.0,4377.0,3831.0,2900.0,0.3248529177929719,0.08151522416686646,0.26517039436795214,0.8413864868232508,2043.0,0.955868544600939,-4171472.364146358,0.4872406391605056,32.8,23.8,26.51,0.4,22.1,6.71,1005.870833,61.0,12.049071812499998,140.6838972222222,3.75902777777778,69.67180108093059,314.93563732692195,586.1556749672419,333.1531491666667
2022-11-03,307,96,2,-20.44658267,-54.83848333,G1,1,29.19171948,9.583037739,3006.0,69.30154841,39.68278002,8.909389619,57.98711437,54.88432416,2022-10-30,1664.0,1777.0,2130.0,2123.0,2887.0,4132.0,4402.0,4166.0,4511.0,4377.0,3831.0,2900.0,0.3248529177929719,0.08151522416686646,0.26517039436795214,0.8413864868232508,2043.0,0.955868544600939,-4171472.364146358,0.4872406391605056,32.8,23.8,26.51,0.4,22.1,6.71,1005.870833,61.0,12.049071812499998,140.6838972222222,3.75902777777778,69.67180108093059,314.93563732692195,586.1556749672419,333.1531491666667
